Unnamed: 0,origin_city,title,post_id,price,posted_time,posted_location,scraped_time,post_link,category,cat_code,likelihood_score
79,syracuse,1942 Wayne County Telephone Directory,7815548301,110,14-Jan,Savannah,15/01/2025 11:18:42,https://syracuse.craigslist.org/atq/d/montezuma-1942-wayne-county-telephone/7815548301.html,antiques,ata,1
5,watertown,Franciscan Desert Rose China Vintage,7817993372,300,13-Jan,,15/01/2025 14:11:06,https://watertown.craigslist.org/atq/d/depauville-franciscan-desert-rose-china/7817993372.html,antiques,ata,1
84,newyork,Antique Bar - Entire Interior - For Sale,7805484012,0,24-Dec,Norwich,15/01/2025 00:49:49,https://newyork.craigslist.org/mnh/atq/d/norwich-antique-bar-entire-interior-for/7805484012.html,antiques,ata,95
84,longisland,"Sugar sifter spoon, William A. Rodgers",7812261663,12,14-Jan,Massapequa,14/01/2025 22:17:36,https://longisland.craigslist.org/atq/d/babylon-sugar-sifter-spoon-william/7812261663.html,antiques,ata,1
22,buffalo,Antique dry chemical fire extinguisher,7811754089,375,14-Jan,Newfane,14/01/2025 14:00:34,https://buffalo.craigslist.org/atq/d/newfane-antique-dry-chemical-fire/7811754089.html,antiques,ata,1
37,newyork,MIRROR,7816617178,0,8-Jan,Murray Hill,15/01/2025 00:44:14,https://newyork.craigslist.org/mnh/atq/d/new-york-mirror/7816617178.html,antiques,ata,1
58,newyork,Carved Oak Neoclassical Fireplace mantal c. 1890-1920,7814432859,1,5-Jan,Brooklyn,15/01/2025 00:45:25,https://newyork.craigslist.org/brk/atq/d/brooklyn-carved-oak-neoclassical/7814432859.html,antiques,ata,1
2,oneonta,Motorcycles,7817414310,3500,11-Jan,Maryland,15/01/2025 07:17:08,https://oneonta.craigslist.org/atd/d/maryland-motorcycles/7817414310.html,antiques,ata,1
98,newyork,NYC Subway sign - D and B train - Price drop!,7817178643,325,14-Jan,Upper West Side,15/01/2025 00:39:26,https://newyork.craigslist.org/mnh/atq/d/new-york-nyc-subway-sign-and-train/7817178643.html,antiques,ata,1
33,albany,Antique Sadler China Teapot Model 2768,7817421340,20,13-Jan,Latham,14/01/2025 11:50:35,https://albany.craigslist.org/atq/d/newtonville-antique-sadler-china-teapot/7817421340.html,antiques,ata,1
111,newyork,ANTIQUE PEDAL CAR,7818213040,200,14-Jan,queens,15/01/2025 00:39:26,https://newyork.craigslist.org/que/atq/d/ozone-park-antique-pedal-car/7818213040.html,antiques,ata,1
41,plattsburgh,ANTIQUE SHIPS BLOCK,7806965752,50,2-Dec,PERU,15/01/2025 07:51:22,https://plattsburgh.craigslist.org/atq/d/peru-antique-ships-block/7806965752.html,antiques,ata,1
86,longisland,Vintage Royal ruby maple leaf dish,7813397475,20,14-Jan,Massapequa,14/01/2025 22:17:36,https://longisland.craigslist.org/atq/d/babylon-vintage-royal-ruby-maple-leaf/7813397475.html,antiques,ata,1
75,buffalo,ANTIQUE OAK DRESSER HARPS PAIR,7817445802,10,11-Jan,,14/01/2025 14:01:01,https://buffalo.craigslist.org/atq/d/grand-island-antique-oak-dresser-harps/7817445802.html,antiques,ata,20
100,syracuse,SOLID BRASS & MARBLE TASSEL LAMP,7814923693,125,2-Jan,Westvale,15/01/2025 11:19:06,https://syracuse.craigslist.org/atq/d/syracuse-solid-brass-marble-tassel-lamp/7814923693.html,antiques,ata,1
52,albany,retro home phones,7805816081,20,23-Dec,niskayuna,14/01/2025 11:52:11,https://albany.craigslist.org/atq/d/schenectady-retro-home-phones/7805816081.html,antiques,ata,5
4,newyork,TYPEWRITERS,7812622723,100,22-Dec,QUEENS,15/01/2025 00:50:37,https://newyork.craigslist.org/que/atq/d/ozone-park-typewriters/7812622723.html,antiques,ata,5
51,newyork,"Rory Calhoun ""Four Guns To The Border"" 11""x14"" movie poster",7810804317,30,15-Dec,Manhattan,15/01/2025 00:52:35,https://newyork.craigslist.org/brk/atq/d/brooklyn-rory-calhoun-four-guns-to-the/7810804317.html,antiques,ata,5
108,newyork,"humphrey bogart ""sirocco"" 11""x14"" original movie poster",7815953276,45,5-Jan,Manhattan,15/01/2025 00:45:01,https://newyork.craigslist.org/que/atq/d/brooklyn-humphrey-bogart-sirocco-11x14/7815953276.html,antiques,ata,5
